student_id,course_id,grade,semester
ST0000,CS028,B,3
ST0000,CS041,A,3
ST0000,CS029,A,4
ST0000,CS008,B,4
ST0000,CS033,A,2
ST0001,CS042,B,3
ST0001,CS034,A,6
ST0001,CS045,A,5
ST0001,CS022,A,1
ST0001,CS010,A,1
ST0001,CS037,B,3
ST0002,CS045,A,2
ST0002,CS012,A,7
ST0002,CS025,A,6
ST0002,CS006,B,2
ST0002,CS037,A,2
ST0002,CS000,A,8
ST0002,CS015,A,2
ST0002,CS011,B,4
ST0002,CS010,B,1
ST0002,CS008,B,3
ST0002,CS043,B,1
ST0002,CS028,B,1
ST0002,CS031,B,6
ST0002,CS018,B,3
ST0002,CS021,A,5
ST0002,CS042,B,4
ST0002,CS014,B,3
ST0003,CS026,A,2
ST0003,CS045,B,3
ST0003,CS048,A,2
ST0003,CS047,B,2
ST0003,CS049,A,1
ST0003,CS016,A,3
ST0003,CS005,B,6
ST0003,CS004,A,7
ST0003,CS034,A,8
ST0003,CS033,B,2
ST0003,CS044,A,2
ST0003,CS001,B,2
ST0003,CS031,B,6
ST0004,CS026,B,3
ST0004,CS020,B,4
ST0004,CS010,B,7
ST0004,CS005,A,5
ST0004,CS021,A,4
ST0004,CS016,B,8
ST0004,CS025,B,3
ST0004,CS011,A,6
ST0004,CS043,A,5
ST0005,CS023,B,1
ST0005,CS027,B,2
ST0005,CS008,B,2
ST0005,CS044,B,4
ST0005,CS035,B,6
ST0005,CS018,B,7
ST0006,CS003,B,4
ST0006,CS029,A,5
ST0006,CS042,B,5
ST0006,CS047,B,7
ST0006,CS008,A,2
ST0006,CS004,B,6
ST0006,CS038,B,5
ST0006,CS041,B,3
ST0006,CS015,B,4
ST0006,CS048,A,3
ST0006,CS046,B,3
ST0007,CS008,A,4
ST0007,CS010,B,3
ST0007,CS034,A,2
ST0007,CS022,A,5
ST0007,CS023,A,8
ST0007,CS047,A,2
ST0007,CS013,A,2
ST0007,CS026,B,5
ST0007,CS020,B,1
ST0008,CS000,A,8
ST0008,CS002,B,7
ST0008,CS032,A,5
ST0008,CS003,A,5
ST0008,CS004,B,6
ST0008,CS009,A,3
ST0008,CS034,B,1
ST0008,CS030,A,8
ST0008,CS025,A,4
ST0009,CS008,A,6
ST0009,CS042,B,1
ST0009,CS005,A,7
ST0009,CS033,A,2
ST0009,CS007,B,7
ST0009,CS012,A,5
ST0009,CS040,A,8
ST0009,CS037,A,8
ST0010,CS006,A,1
ST0010,CS040,B,1
ST0010,CS001,A,7
ST0010,CS027,B,3
ST0010,CS002,B,5
ST0010,CS046,A,8
ST0010,CS007,A,4
ST0010,CS048,A,3
ST0010,CS045,B,5
ST0010,CS036,A,1
ST0010,CS038,A,2
ST0010,CS018,B,6
ST0010,CS008,A,2
ST0010,CS016,A,1
ST0010,CS003,A,2
ST0010,CS047,A,5
ST0010,CS026,B,4
ST0010,CS014,A,2
ST0011,CS028,A,7
ST0011,CS046,A,8
ST0011,CS047,B,5
ST0011,CS037,B,3
ST0011,CS027,A,2
ST0011,CS045,A,2
ST0011,CS048,A,3
ST0011,CS044,B,6
ST0011,CS004,A,2
ST0011,CS001,A,4
ST0011,CS025,A,5
ST0012,CS039,A,3
ST0012,CS020,A,6
ST0012,CS029,A,7
ST0012,CS021,A,7
ST0012,CS045,A,4
ST0012,CS044,A,3
ST0012,CS036,A,7
ST0013,CS035,B,8
ST0013,CS022,B,5
ST0013,CS039,B,5
ST0013,CS044,B,6
ST0013,CS004,B,7
ST0013,CS008,B,8
ST0013,CS049,B,2
ST0013,CS003,B,4
ST0013,CS026,A,2
ST0013,CS025,B,6
ST0013,CS012,B,6
ST0013,CS001,B,3
ST0013,CS028,A,1
ST0013,CS048,B,5
ST0014,CS025,A,7
ST0014,CS039,B,6
ST0014,CS041,B,2
ST0014,CS012,A,7
ST0014,CS000,A,2
ST0014,CS028,B,8
ST0014,CS013,B,3
ST0014,CS031,B,7
ST0014,CS047,B,8
ST0014,CS018,B,1
ST0014,CS034,A,5
ST0014,CS001,B,7
ST0014,CS023,A,3
ST0014,CS024,A,2
ST0014,CS029,A,4
ST0014,CS019,B,1
ST0014,CS040,B,4
ST0014,CS030,A,7
ST0014,CS015,A,3
ST0015,CS025,A,4
ST0015,CS047,A,8
ST0015,CS026,B,4
ST0015,CS007,B,1
ST0015,CS017,B,8
ST0015,CS008,A,3
ST0015,CS048,B,4
ST0015,CS002,B,7
ST0015,CS034,A,1
ST0015,CS030,A,5
ST0016,CS048,B,2
ST0016,CS022,B,3
ST0016,CS009,B,3
ST0016,CS001,A,3
ST0016,CS029,A,8
ST0016,CS044,B,4
ST0016,CS003,A,8
ST0016,CS010,B,5
ST0016,CS015,A,4
ST0016,CS042,A,5
ST0016,CS004,A,6
ST0017,CS010,B,1
ST0017,CS019,A,7
ST0017,CS012,A,7
ST0017,CS001,A,7
ST0017,CS048,A,2
ST0017,CS015,A,5
ST0017,CS038,A,4
ST0017,CS025,A,8
ST0017,CS049,A,4
ST0017,CS036,A,7
ST0017,CS020,A,8
ST0017,CS037,A,4
ST0018,CS011,A,8
ST0018,CS004,A,3
ST0018,CS048,A,2
ST0018,CS007,A,5
ST0018,CS027,A,1
